Age,Gender,Education_Status,Employment_Status,Working_Week (Yearly),Industry_Status,Occupation_Status,Race,Hispanic_Origin,Martial_Status,Household_Summary,Citizenship,Birth_Country,Birth_Country (Father),Birth_Country (Mother),Tax_Status
79,0,High,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Single,Householder,Native,US,US,US,Single
47,0,Elementary(1-6),Children or Armed Forces,0,Not in universe or children,Unknown,White, Other Spanish,Single,Child 18 or older,Native,US,US,US,Nonfiler
18,1,High,Children or Armed Forces,52,Retail,Services,White, All other,Single,Child 18 or older,Native,US,US,US,Single
39,1,Associates degree (Vocational),Full-Time,30,Medical (except Hospitals),Services,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
6,0,Baby,Children or Armed Forces,0,Not in universe or children,Unknown,White, Mexican-American,Single,Child under 18 never married,Native,US,US,US,Nonfiler
31,0,High Freshman,Full-Time,24,Construction,Transportation,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
17,0,High Freshman,Full-Time,51,Retail,Services,White, All other,Single,Child under 18 never married,Native,US,US,US,Single
11,0,Baby,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Single,Child under 18 never married,Native,US,US,US,Nonfiler
71,0,Elementary(1-6),Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both over 65 (MFJ)
43,0,College,Full-Time,52,Transportation,Admin Support (include Clerical),Black, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
52,1,College,Full-Time,52,Construction,Admin Support (include Clerical),White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
47,1,High,Children or Armed Forces,52,Manufacturing (Durable),Craft & Repair,Asian/Pacific, All other,Married,Spouse of householder,Foreign-born (Naturalized US Citizen),Asia,Asia,Asia,Married Filling Jointly both under 65 (MFJ)
22,0,College,Children or Armed Forces,16,Medical (except Hospitals),Admin Support (include Clerical),White, All other,Single,Child 18 or older,Native,US,US,US,Single
55,1,High,Full-Time,52,Manufacturing (Durable),Machine Operators & Inspectors,White, All other,Divorced,Nonrelative of householder,Native,US,US,US,Single
5,1,Baby,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Single,Child under 18 never married,Native,US,US,US,Nonfiler
31,0,High,Full-Time,52,Construction,Transportation,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
29,0,College,Choice Part-Time,52,Finance Insurance & Real Estate,Protective Services,White, All other,Single,Householder,Native,US,US,Europe,Single
37,1,High Freshman,Children or Armed Forces,52,Manufacturing (Non-durable),Services,White, All other,Divorced,Nonrelative of householder,Native,US,US,US,Single
33,1,Associates degree (Vocational),Full-Time,39,Education,Services,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
42,0,Bachelors degree,Full-Time,52,Manufacturing (Durable),Machine Operators & Inspectors,White, All other,Married,Householder,Foreign-born (Naturalized US Citizen),Europe,Europe,Europe,Married Filling Jointly both under 65 (MFJ)
46,0,Associates degree (Vocational),Full-Time,52,Social Services,Management,White, All other,Married,Householder,Foreign-born (Non-US Citizen),Europe,Europe,Europe,Married Filling Jointly both under 65 (MFJ)
38,0,College,Choice Part-Time,52,Communications,Craft & Repair,White, All other,Divorced,Householder,Native,US,US,US,Single
10,1,Baby,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Single,Nonrelative of householder,Native,US,US,US,Nonfiler
34,1,High,Children or Armed Forces,52,Construction,Handlers/Cleaners,Black, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ)
