iter	Passed	Remaining
0	3	3543
1	6	3186
2	9	3128
3	10	2607
4	13	2615
5	15	2560
6	17	2552
7	20	2538
8	23	2535
9	25	2504
10	27	2497
11	30	2482
12	32	2462
13	34	2436
14	36	2420
15	39	2438
16	42	2441
17	44	2427
18	46	2417
19	48	2399
20	51	2393
21	53	2394
22	55	2377
23	58	2366
24	59	2303
25	61	2297
26	63	2282
27	66	2307
28	68	2304
29	71	2302
30	73	2302
31	75	2294
32	77	2267
33	79	2258
34	81	2244
35	83	2240
36	85	2233
37	88	2247
38	91	2260
39	93	2254
40	96	2247
41	98	2243
42	100	2236
43	102	2232
44	104	2226
45	107	2227
46	109	2219
47	111	2214
48	113	2211
49	116	2206
50	118	2199
51	120	2194
52	122	2188
53	124	2183
54	127	2184
55	129	2183
56	131	2178
57	134	2177
58	136	2171
59	138	2167
60	140	2166
61	143	2169
62	145	2169
63	148	2165
64	150	2169
65	152	2162
66	155	2162
67	158	2167
68	160	2162
69	162	2161
70	164	2157
71	167	2153
72	169	2156
73	172	2154
74	174	2152
75	177	2157
76	180	2159
77	182	2155
78	184	2146
79	185	2128
80	187	2124
81	189	2121
82	191	2119
83	192	2101
84	194	2098
85	196	2093
86	198	2088
87	201	2085
88	203	2082
89	205	2077
90	207	2072
91	209	2069
92	211	2066
93	214	2063
94	216	2058
95	218	2055
96	220	2053
97	223	2059
98	224	2042
99	226	2039
100	228	2036
101	230	2027
102	232	2024
103	234	2021
104	236	2017
105	238	2013
106	240	2009
107	242	2005
108	245	2004
109	247	2002
110	250	2002
111	252	2003
112	254	2001
113	257	1997
114	259	1995
115	261	1996
116	264	1993
117	266	1989
118	268	1986
119	270	1985
120	273	1984
121	275	1981
122	277	1978
123	279	1976
124	282	1974
125	284	1976
126	287	1975
127	289	1974
128	292	1975
129	294	1973
130	296	1969
131	299	1967
132	301	1966
133	304	1966
134	307	1968
135	309	1966
136	312	1966
137	314	1967
138	316	1963
139	319	1961
140	321	1958
141	323	1955
142	325	1951
143	327	1948
144	330	1946
145	332	1944
146	334	1943
147	337	1944
148	339	1940
149	342	1938
150	344	1936
151	347	1936
152	349	1933
153	352	1934
154	354	1934
155	357	1931
156	359	1928
157	361	1927
158	362	1918
159	364	1915
160	367	1913
161	369	1911
162	371	1910
163	374	1907
164	376	1904
165	378	1902
166	380	1899
167	383	1897
168	385	1895
169	387	1891
170	389	1889
171	391	1886
172	394	1884
173	396	1880
174	398	1876
175	401	1879
176	403	1876
177	405	1873
178	408	1871
179	410	1868
180	412	1865
181	414	1862
182	416	1859
183	418	1855
184	420	1853
185	422	1849
186	424	1846
187	426	1843
188	429	1841
189	431	1838
190	433	1836
191	436	1835
192	438	1833
193	440	1830
194	442	1827
195	444	1824
196	446	1822
197	449	1819
198	451	1817
199	453	1814
200	455	1812
201	458	1810
202	460	1808
203	463	1810
204	466	1807
205	468	1804
206	470	1802
207	472	1799
208	474	1797
209	477	1797
210	480	1795
211	482	1792
212	483	1785
213	485	1782
214	487	1780
215	489	1777
216	491	1774
217	494	1772
218	496	1770
219	498	1768
220	500	1765
221	502	1762
222	503	1755
223	506	1753
224	508	1750
225	510	1747
226	512	1745
227	514	1742
228	517	1741
229	519	1738
230	520	1734
231	523	1732
232	525	1729
233	527	1726
234	529	1723
235	531	1721
236	533	1718
237	536	1717
238	538	1714
239	540	1711
240	542	1708
241	544	1706
242	547	1704
243	549	1703
244	551	1700
245	553	1697
246	555	1694
247	558	1692
248	560	1689
249	562	1686
250	563	1681
251	565	1678
252	567	1676
253	570	1674
254	572	1673
255	575	1671
256	578	1672
257	580	1669
258	582	1667
259	585	1665
260	587	1663
261	589	1661
262	592	1659
263	594	1657
264	596	1655
265	598	1652
266	601	1650
267	603	1649
268	606	1647
269	608	1645
270	610	1642
271	613	1640
272	615	1637
273	617	1636
274	620	1634
275	622	1632
276	624	1630
277	625	1625
278	628	1623
279	630	1621
280	632	1619
281	635	1618
282	637	1616
283	639	1611
284	641	1610
285	644	1607
286	646	1606
287	649	1604
288	651	1602
289	654	1601
290	656	1599
291	658	1597
292	660	1594
293	663	1592
294	665	1590
295	667	1587
296	669	1585
297	672	1583
298	674	1581
299	675	1576
300	678	1574
301	680	1572
302	682	1570
303	685	1569
304	687	1566
305	689	1564
306	691	1560
307	693	1558
308	694	1553
309	697	1551
310	699	1548
311	701	1546
312	702	1541
313	704	1538
314	706	1536
315	708	1533
316	710	1531
317	713	1530
318	716	1529
319	718	1526
320	720	1524
321	723	1522
322	725	1520
323	728	1519
324	731	1519
325	733	1516
326	735	1514
327	737	1511
328	740	1509
329	742	1507
330	744	1504
331	746	1502
332	748	1499
333	750	1497
334	753	1494
335	755	1492
336	757	1490
337	759	1487
338	761	1485
339	763	1482
340	765	1479
341	768	1477
342	769	1473
343	771	1470
344	773	1468
345	776	1467
346	778	1465
347	781	1463
348	783	1461
349	785	1459
350	787	1456
351	790	1454
352	792	1452
353	794	1449
354	796	1447
355	798	1445
356	801	1443
357	802	1438
358	804	1436
359	807	1435
360	809	1432
361	811	1430
362	814	1428
363	817	1427
364	819	1425
365	821	1423
366	823	1420
367	825	1418
368	827	1415
369	830	1413
370	832	1411
371	834	1408
372	836	1406
373	839	1404
374	841	1402
375	843	1400
376	845	1397
377	848	1395
378	850	1393
379	852	1390
380	854	1388
381	856	1385
382	858	1383
383	860	1379
384	862	1377
385	864	1374
386	866	1372
387	868	1369
388	870	1367
389	871	1362
390	872	1358
391	874	1356
392	876	1354
393	879	1351
394	881	1349
395	883	1347
396	886	1345
397	888	1343
398	890	1341
399	892	1338
400	894	1336
401	897	1334
402	899	1333
403	902	1330
404	904	1328
405	907	1327
406	908	1323
407	910	1321
408	912	1318
409	915	1317
410	918	1316
411	920	1313
412	922	1310
413	924	1308
414	926	1306
415	928	1303
416	930	1301
417	933	1299
418	935	1297
419	938	1295
420	940	1292
421	941	1290
422	944	1287
423	946	1285
424	948	1283
425	950	1281
426	952	1278
427	954	1275
428	957	1273
429	957	1269
430	959	1267
431	962	1265
432	965	1264
433	967	1262
434	969	1259
435	971	1257
436	973	1254
437	976	1253
438	978	1250
439	981	1248
440	983	1246
441	986	1245
442	990	1244
443	992	1242
444	994	1240
445	996	1238
446	999	1236
447	1001	1233
448	1003	1231
449	1005	1228
450	1007	1226
451	1010	1224
452	1013	1223
453	1014	1220
454	1016	1217
455	1019	1215
456	1021	1213
457	1023	1211
458	1025	1208
459	1028	1207
460	1030	1205
461	1032	1202
462	1034	1200
463	1037	1198
464	1040	1196
465	1043	1195
466	1045	1193
467	1047	1191
468	1050	1189
469	1052	1186
470	1054	1184
471	1057	1182
472	1059	1180
473	1061	1177
474	1063	1175
475	1066	1173
476	1068	1171
477	1070	1169
478	1072	1166
479	1075	1164
480	1077	1162
481	1079	1160
482	1082	1158
483	1084	1156
484	1086	1153
485	1088	1151
486	1091	1149
487	1093	1147
488	1094	1143
489	1096	1141
490	1097	1137
491	1099	1135
492	1100	1131
493	1102	1129
494	1104	1127
495	1107	1125
496	1109	1123
497	1111	1120
498	1114	1118
499	1116	1116
500	1118	1114
501	1120	1111
502	1121	1107
503	1123	1105
504	1125	1103
505	1128	1101
506	1130	1099
507	1131	1096
508	1134	1094
509	1137	1093
510	1140	1091
511	1142	1089
512	1145	1087
513	1148	1085
514	1150	1083
515	1153	1082
516	1156	1080
517	1158	1078
518	1161	1076
519	1163	1074
520	1166	1072
521	1168	1070
522	1171	1068
523	1173	1066
524	1176	1064
525	1179	1062
526	1182	1061
527	1185	1059
528	1188	1058
529	1191	1056
530	1193	1053
531	1196	1052
532	1198	1049
533	1200	1047
534	1203	1046
535	1206	1044
536	1208	1041
537	1210	1039
538	1212	1037
539	1215	1035
540	1217	1032
541	1219	1030
542	1221	1028
543	1224	1026
544	1226	1024
545	1229	1022
546	1231	1019
547	1232	1016
548	1234	1014
549	1237	1012
550	1239	1009
551	1241	1007
552	1243	1004
553	1245	1002
554	1247	1000
555	1250	998
556	1252	996
557	1254	994
558	1257	992
559	1260	990
560	1262	988
561	1265	986
562	1268	984
563	1270	982
564	1272	980
565	1275	977
566	1277	975
567	1280	973
568	1282	971
569	1284	968
570	1286	966
571	1289	964
572	1291	962
573	1293	960
574	1296	958
575	1298	955
576	1300	953
577	1303	951
578	1305	948
579	1307	946
580	1309	944
581	1311	942
582	1313	939
583	1315	936
584	1317	934
585	1319	932
586	1321	929
587	1322	926
588	1324	924
589	1327	922
590	1329	919
591	1331	917
592	1334	915
593	1336	913
594	1338	911
595	1341	909
596	1343	906
597	1345	904
598	1347	902
599	1350	900
600	1353	898
601	1354	895
602	1357	893
603	1359	891
604	1361	888
605	1363	886
606	1365	884
607	1368	882
608	1371	880
609	1374	878
610	1377	876
611	1379	874
612	1381	872
613	1382	869
614	1384	866
615	1387	864
616	1390	863
617	1392	860
618	1395	858
619	1397	856
620	1400	854
621	1402	852
622	1404	849
623	1406	847
624	1408	845
625	1411	843
626	1413	840
627	1415	838
628	1417	836
629	1419	833
630	1422	831
631	1424	829
632	1426	827
633	1429	825
634	1432	823
635	1434	821
636	1436	818
637	1438	815
638	1439	813
639	1441	810
640	1443	808
641	1445	806
642	1448	803
643	1450	801
644	1451	798
645	1454	796
646	1456	794
647	1458	792
648	1460	789
649	1463	787
650	1465	785
651	1467	783
652	1471	781
653	1472	778
654	1474	776
655	1477	774
656	1479	772
657	1482	770
658	1484	768
659	1485	765
660	1488	763
661	1490	760
662	1492	758
663	1495	756
664	1498	754
665	1500	752
666	1503	750
667	1505	748
668	1507	745
669	1509	743
670	1511	741
671	1514	739
672	1516	736
673	1518	734
674	1520	732
675	1522	729
676	1525	727
677	1527	725
678	1530	723
679	1533	721
680	1535	719
681	1537	717
682	1540	714
683	1542	712
684	1544	710
685	1547	708
686	1549	705
687	1551	703
688	1553	701
689	1555	698
690	1558	696
691	1560	694
692	1562	692
693	1564	690
694	1567	687
695	1569	685
696	1571	683
697	1573	680
698	1575	678
699	1577	676
700	1579	673
701	1581	671
702	1584	669
703	1586	667
704	1587	664
705	1590	662
706	1592	660
707	1595	658
708	1597	655
709	1600	653
710	1602	651
711	1604	649
712	1606	646
713	1609	644
714	1610	641
715	1612	639
716	1614	637
717	1617	635
718	1619	633
719	1621	630
720	1624	628
721	1626	626
722	1628	623
723	1629	621
724	1631	618
725	1633	616
726	1633	613
727	1636	611
728	1638	609
729	1640	606
730	1642	604
731	1645	602
732	1647	600
733	1649	597
734	1652	595
735	1654	593
736	1656	591
737	1658	588
738	1660	586
739	1661	583
740	1664	581
741	1666	579
742	1668	577
743	1670	574
744	1672	572
745	1675	570
746	1677	568
747	1679	565
748	1682	563
749	1684	561
750	1686	559
751	1687	556
752	1689	554
753	1691	551
754	1694	549
755	1696	547
756	1697	544
757	1700	542
758	1702	540
759	1704	538
760	1707	536
761	1709	534
762	1712	531
763	1714	529
764	1716	527
765	1719	525
766	1722	523
767	1724	520
768	1726	518
769	1727	516
770	1729	513
771	1732	511
772	1734	509
773	1736	506
774	1738	504
775	1741	502
776	1743	500
777	1745	498
778	1746	495
779	1749	493
780	1751	491
781	1753	488
782	1755	486
783	1758	484
784	1761	482
785	1762	479
786	1765	477
787	1767	475
788	1769	473
