ID,Age,Gender,Education_Status,Employment_Status,Working_Week (Yearly),Industry_Status,Occupation_Status,Race,Hispanic_Origin,Martial_Status,Household_Summary,Citizenship,Birth_Country,Birth_Country (Father),Birth_Country (Mother),Tax_Status,Income
TRAIN_00000,63,0,,Full-Time,4,Social Services,Services,White, All other,Married,Householder,Native,US,US,US,Nonfiler,425
TRAIN_00001,37,0,,Full-Time,52,Entertainment,Services,White, All other,Separated,Householder,Native,US,US,US,Single,0
TRAIN_00002,58,1,High,Full-Time,52,Manufacturing (Non-durable),Admin Support (include Clerical),Black, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),860
TRAIN_00003,44,0,High,Full-Time,52,Retail,Technicians & Support,White, All other,Divorced,Householder,Native,US,US,US,Single,850
TRAIN_00004,37,1,High,Full-Time,52,Retail,Sales,White, All other,Divorced,Householder,Native,US,US,US,Head of Household (HOH),570
TRAIN_00005,55,1,High,Full-Time,50,Retail,Services,White, All other,Widowed,Householder,Native,US,US,US,Single,300
TRAIN_00006,67,0,,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Divorced,Householder,Native,US,US,US,Nonfiler,0
TRAIN_00008,24,1,,Children or Armed Forces,52,Retail,Sales,White, All other,Single,Child 18 or older,Native,US,US,US,Single,0
TRAIN_00010,56,1,High,Children or Armed Forces,52,Hospitals,Services,Black, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly one over 65 & one under 65 (MFJ),0
TRAIN_00011,75,1,,Children or Armed Forces,0,Not in universe or children,Unknown,White, Cuban,Married,Other relative of householder,Foreign-born (Non-US Citizen),Cuba,Cuba,Cuba,Nonfiler,0
TRAIN_00012,34,1,High,Full-Time,52,Manufacturing (Durable),Craft & Repair,White, All other,Married,Householder,Foreign-born (Non-US Citizen),Portugal,Portugal,Portugal,Married Filling Jointly both under 65 (MFJ),860
TRAIN_00013,40,0,Elementary(1-6),Full-Time,52,Manufacturing (Durable),Machine Operators & Inspectors,White, Mexican (Mexicano),Married,Spouse of householder,Foreign-born (Non-US Citizen),Mexico,Mexico,Mexico,Married Filling Jointly both under 65 (MFJ),800
TRAIN_00014,44,0,High,Children or Armed Forces,52,Public Administration,Protective Services,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),0
TRAIN_00015,21,1,,Full-Time,40,Education,Protective Services,White, All other,Single,Child 18 or older,Native,US,US,US,Nonfiler,400
TRAIN_00017,48,1,,Children or Armed Forces,52,Finance Insurance & Real Estate,Management,White, All other,Divorced,Householder,Native,US,US,US,Single,850
TRAIN_00018,36,0,,Full-Time,20,Hospitals,Services,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),672
TRAIN_00019,29,1,,Children or Armed Forces,52,Finance Insurance & Real Estate,Admin Support (include Clerical),White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),950
TRAIN_00020,28,1,High,Full-Time,52,Retail,Services,White, Central or South American,Single,Householder,Native,US,Unknown,US,Single,500
TRAIN_00022,31,1,High,Children or Armed Forces,0,Not in universe or children,Unknown,White, Puerto Rican,Married (Spouse Absent),Householder,Native (Born in Puerto Rico or US Outlying),Puerto-Rico,Puerto-Rico,Puerto-Rico,Nonfiler,0
TRAIN_00024,39,1,High,Full-Time,52,Education,Management,White, Mexican-American,Married,Spouse of householder,Native,US,Mexico,Mexico,Married Filling Jointly both under 65 (MFJ),1367
TRAIN_00025,49,0,High,Full-Time,52,Transportation,Admin Support (include Clerical),White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),1200
TRAIN_00026,40,0,,Children or Armed Forces,52,Medical (except Hospitals),Professional,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),0
TRAIN_00027,60,0,,Children or Armed Forces,52,Wholesale,Craft & Repair,Native American/Aleut/Eskimo, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),1100
TRAIN_00030,59,0,,Children or Armed Forces,48,Social Services,Craft & Repair,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),800
TRAIN_00031,23,1,,Choice Part-Time,30,Hospitals,Professional,White, All other,Single,Householder,Native,US,US,US,Single,1800
TRAIN_00032,21,0,,Full-Time,52,Public Administration,Admin Support (include Clerical),White, All other,Single,Child 18 or older,Native,US,US,US,Single,500
TRAIN_00033,35,0,High,Full-Time,52,Construction,Craft & Repair,White, All other,Married,Householder,Native (Born Abroad),Germany,US,US,Married Filling Jointly both under 65 (MFJ),1600
TRAIN_00034,55,0,High,Children or Armed Forces,52,Manufacturing (Durable),Machine Operators & Inspectors,Native American/Aleut/Eskimo, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),0
TRAIN_00036,35,0,,Full-Time,52,Transportation,Transportation,Asian/Pacific, All other,Married,Spouse of householder,Foreign-born (Non-US Citizen),Japan,Japan,Japan,Married Filling Jointly both under 65 (MFJ),1400
TRAIN_00037,57,0,,Full-Time,52,Public Administration,Management,White, All other,Married (Spouse Absent),Householder,Native,US,US,US,Single,0
TRAIN_00038,17,1,High,Children or Armed Forces,52,Medical (except Hospitals),Services,White, All other,Single,Other relative of householder,Native,US,US,US,Single,0
TRAIN_00039,18,0,High,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Single,Child 18 or older,Native,US,US,US,Nonfiler,0
TRAIN_00040,29,1,,Full-Time,52,Manufacturing (Non-durable),Management,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),650
TRAIN_00042,52,0,High,Full-Time,52,Transportation,Transportation,Black, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),600
TRAIN_00043,23,1,High,Full-Time,52,Retail,Sales,White, All other,Married (Spouse Absent),Child 18 or older,Native,US,US,US,Head of Household (HOH),500
TRAIN_00044,63,0,High,Full-Time,52,Manufacturing (Durable),Craft & Repair,White, All other,Married,Householder,Native,US,Poland,US,Married Filling Jointly both under 65 (MFJ),1200
TRAIN_00045,41,0,,Full-Time,52,Public Administration,Protective Services,White, Central or South American,Married,Householder,Foreign-born (Non-US Citizen),Columbia,Columbia,Columbia,Married Filling Jointly both under 65 (MFJ),0
TRAIN_00046,42,1,,Children or Armed Forces,50,Social Services,Professional,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),545
TRAIN_00047,30,0,High,Children or Armed Forces,52,Manufacturing (Durable),Admin Support (include Clerical),White, All other,Single,Householder,Native,US,US,US,Single,0
TRAIN_00048,17,0,,Children or Armed Forces,26,Retail,Handlers/Cleaners,White, All other,Single,Child under 18 never married,Native,US,US,US,Single,550
TRAIN_00049,28,0,,Children or Armed Forces,52,Retail,Management,Asian/Pacific, All other,Married,Householder,Foreign-born (Naturalized US Citizen),Philippines,Philippines,Philippines,Married Filling Jointly both under 65 (MFJ),1030
TRAIN_00050,42,0,,Full-Time,52,Transportation,Admin Support (include Clerical),White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),1400
TRAIN_00051,18,1,,Full-Time,52,Education,Services,White, All other,Single,Child 18 or older,Native,US,US,US,Single,550
TRAIN_00052,43,0,High,Children or Armed Forces,52,Manufacturing (Non-durable),Craft & Repair,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),1000
TRAIN_00053,55,1,High,Children or Armed Forces,52,Other professional services,Management,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),2400
TRAIN_00054,22,1,,Full-Time,20,Personal Services (except Private Household),Services,White, Other Spanish,Single,Child 18 or older,Native,US,US,US,Single,500
TRAIN_00055,61,0,,Children or Armed Forces,0,Not in universe or children,Unknown,Black, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),0
TRAIN_00057,53,1,High,Children or Armed Forces,30,Personal Services (except Private Household),Sales,White, All other,Widowed,Householder,Native,US,US,US,Single,500
TRAIN_00058,46,1,,Full-Time,52,Social Services,Professional,White, All other,Divorced,Householder,Native,US,US,US,Single,2000
TRAIN_00059,63,0,Elementary(1-6),Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Married,Householder,Native,US,US,US,Nonfiler,0
TRAIN_00060,19,1,,Children or Armed Forces,30,Public Administration,Sales,White, All other,Single,Other relative of householder,Native,US,US,US,Single,0
TRAIN_00061,48,1,High,Full-Time,52,Retail,Sales,White, All other,Married,Spouse of householder,Native,US,Unknown,US,Married Filling Jointly both under 65 (MFJ),700
TRAIN_00062,61,1,High,Children or Armed Forces,0,Not in universe or children,Unknown,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),0
TRAIN_00063,27,1,High,Children or Armed Forces,52,Retail,Sales,Black, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),425
TRAIN_00064,38,1,,Full-Time,44,Manufacturing (Durable),Machine Operators & Inspectors,Black, All other,Widowed,Householder,Native,US,US,US,Head of Household (HOH),0
TRAIN_00065,50,0,,Children or Armed Forces,52,Retail,Services,White, Mexican-American,Single,Householder,Native,US,US,US,Single,213
TRAIN_00066,35,0,,Children or Armed Forces,52,Transportation,Craft & Repair,White, All other,Married,Householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),1600
TRAIN_00067,28,1,High,Full-Time,52,Medical (except Hospitals),Services,Black, All other,Single,Child 18 or older,Native,US,US,US,Single,600
TRAIN_00068,38,1,High,Full-Time,52,Hospitals,Management,White, All other,Married,Spouse of householder,Native,US,US,US,Married Filling Jointly both under 65 (MFJ),988
TRAIN_00069,26,0,High,Full-Time,52,Business & Repair,Services,White, Central or South American,Single,Householder,Foreign-born (Non-US Citizen),Unknown,Unknown,Unknown,Head of Household (HOH),700
