ID,Income
TEST_0000,0.0
TEST_0001,371.065992063492
TEST_0002,601.39
TEST_0003,874.24
TEST_0004,415.68333333333345
TEST_0005,0.0
TEST_0006,858.71
TEST_0007,721.5066666666667
TEST_0008,845.7
TEST_0009,409.05
TEST_0010,691.4
TEST_0011,1065.0266666666666
TEST_0012,764.49
TEST_0013,531.42
TEST_0014,742.29
TEST_0015,1137.11
TEST_0016,1173.13
TEST_0017,1955.29
TEST_0018,475.64
TEST_0019,529.82
TEST_0020,832.45
TEST_0021,1405.91
TEST_0022,693.56
TEST_0023,920.7633333333333
TEST_0024,529.51
TEST_0025,1199.8
TEST_0026,483.41
TEST_0027,459.96
TEST_0028,458.29
TEST_0029,1478.2393333333334
TEST_0030,472.772
TEST_0031,1548.67
TEST_0032,1179.85
TEST_0033,1309.73
TEST_0034,725.2
TEST_0035,962.23
TEST_0036,672.06
TEST_0037,336.05
TEST_0038,504.22
TEST_0039,824.86
TEST_0040,561.7166666666667
TEST_0041,696.64
TEST_0042,1421.35
TEST_0043,829.13
TEST_0044,1024.63
TEST_0045,633.0433333333334
TEST_0046,763.77
TEST_0047,585.67
TEST_0048,0.0
TEST_0049,666.8
TEST_0050,193.92
TEST_0051,586.35
TEST_0052,785.62
TEST_0053,345.6
TEST_0054,0.0
TEST_0055,747.5633333333334
TEST_0056,1007.73
TEST_0057,808.46
TEST_0058,570.7
TEST_0059,1056.25
TEST_0060,385.5
TEST_0061,0.0
TEST_0062,381.08
TEST_0063,653.875
TEST_0064,870.8
TEST_0065,1172.66
TEST_0066,864.09
TEST_0067,688.91
TEST_0068,576.46
TEST_0069,626.67
TEST_0070,620.84
TEST_0071,326.64
TEST_0072,1295.17
TEST_0073,649.59
TEST_0074,379.43
TEST_0075,708.68
TEST_0076,571.15
TEST_0077,405.685
TEST_0078,0.0
TEST_0079,395.95
TEST_0080,342.69
TEST_0081,749.09
TEST_0082,800.82
TEST_0083,286.81
TEST_0084,755.8567857142857
TEST_0085,549.006
TEST_0086,863.88
TEST_0087,733.38
TEST_0088,464.7
TEST_0089,615.25
TEST_0090,845.84
TEST_0091,877.0925
TEST_0092,510.05
TEST_0093,1177.3008333333335
TEST_0094,1021.91
TEST_0095,1161.85
TEST_0096,884.35
TEST_0097,960.08
TEST_0098,1308.19
TEST_0099,1148.115
TEST_0100,1169.38
TEST_0101,571.9816666666667
TEST_0102,174.3
TEST_0103,484.95
TEST_0104,879.6366666666665
TEST_0105,1300.28
TEST_0106,970.2
TEST_0107,751.26
TEST_0108,1341.95
TEST_0109,522.4
TEST_0110,767.095
TEST_0111,293.67999999999995
